t,theta_rad,omega_sc,omega_rw,T_dist,T_applied,T_des,yaw_err_deg
53.7,0.5990906441823732,-0.04162775941168999,8.325549644186934,4.029054592055202e-09,-5e-05,-5e-05,-4.325365457423714
53.72,0.5982570889921792,-0.04167775950969804,8.335549644186933,-9.800805762523146e-11,-5e-05,-5e-05,-4.2776062630343725
53.74,0.597422533835973,-0.04172775781031156,8.345549644186933,1.6993864813599572e-09,-5e-05,-5e-05,-4.2297897748128745
53.76,0.5965869786631776,-0.0417777586397732,8.355549644186933,-8.29461641489446e-10,-5e-05,-5e-05,-4.181915989861372
53.78,0.5957504234693,-0.041827759693879876,8.365549644186933,-1.0541066776783769e-09,-5e-05,-5e-05,-4.133984907922438
53.800000000000004,0.5949128682663012,-0.041877760149940116,8.375549644186933,-4.5606023618924505e-10,-5e-05,-5e-05,-4.085996529681385
53.82,0.5940743130479945,-0.04192776091533295,8.385549644186932,-7.653928334318124e-10,-5e-05,-5e-05,-4.037950854783741
53.84,0.5932347578044302,-0.041977762178214424,8.395549644186932,-1.2628814716071454e-09,-5e-05,-5e-05,-3.9898478826594306
53.86,0.5923942026056537,-0.04202775993882623,8.405549644186932,2.2393881938747725e-09,-5e-05,-5e-05,-3.9416876173217528
53.88,0.5915526474730899,-0.042077756628190265,8.415549644186932,3.310635967302139e-09,-5e-05,-5e-05,-3.8934700599982754
53.9,0.5907100923332882,-0.04212775699008347,8.425549644186932,-3.6189320415144575e-10,-5e-05,-5e-05,-3.845195206480583
53.92,0.5898665372113536,-0.04217775609673109,8.435549644186931,8.933523788490136e-10,-5e-05,-5e-05,-3.796863058207089
53.94,0.5890219821873488,-0.042227751200238764,8.445549644186931,4.8964923281686376e-09,-5e-05,-5e-05,-3.7484736197650426
53.96,0.5881764271700616,-0.04227775086436401,8.455549644186931,3.358747552131641e-10,-5e-05,-5e-05,-3.700026885928373
53.980000000000004,0.58732987218651,-0.04232774917757596,8.46554964418693,1.6867880494150641e-09,-5e-05,-5e-05,-3.6515228582451016
54.0,0.5864823172488955,-0.042377746880725174,8.47554964418693,2.2968507852028405e-09,-5e-05,-5e-05,-3.602961537414319
54.02,0.5856337623147202,-0.04242774670876672,8.48554964418693,1.7195845592528794e-10,-5e-05,-5e-05,-3.55434292100107
54.04,0.5847842073809796,-0.042477746687028355,8.49554964418693,2.1738364405222285e-11,-5e-05,-5e-05,-3.5056670088332167
54.06,0.5839336524315218,-0.042527747472885215,8.50554964418693,-7.858568612989948e-10,-5e-05,-5e-05,-3.4569337999853254
54.08,0.5830820974778123,-0.04257774768548023,8.51554964418693,-2.1259501586742878e-10,-5e-05,-5e-05,-3.4081432951143076
54.1,0.5822295425550374,-0.042627746138738994,8.52554964418693,1.5467412364147e-09,-5e-05,-5e-05,-3.3592954962362094
54.120000000000005,0.5813759876686123,-0.04267774432125848,8.53554964418693,1.8174805111359287e-09,-5e-05,-5e-05,-3.310390403661281
54.14,0.5805214327703614,-0.04272774491254721,8.545549644186929,-5.912887271291626e-10,-5e-05,-5e-05,-3.2614280146292716
54.160000000000004,0.579665877889056,-0.04277774406527195,8.555549644186929,8.472752602494671e-10,-5e-05,-5e-05,-3.212408330788656
54.18,0.5788093230173693,-0.04282774358433398,8.565549644186929,4.809379660088968e-10,-5e-05,-5e-05,-3.1633313517196395
54.2,0.5779517681441322,-0.04287774366185817,8.575549644186928,-7.752419210532366e-11,-5e-05,-5e-05,-3.1141970767822755
54.22,0.5770932132618483,-0.042927744114198696,8.585549644186928,-4.523405243856146e-10,-5e-05,-5e-05,-3.0650055055470555
54.24,0.5762336584322872,-0.04297774147805076,8.595549644186928,2.6361479388163903e-09,-5e-05,-5e-05,-3.0157566415531227
54.26,0.5753731035720342,-0.04302774301265508,8.605549644186928,-1.5346043185685146e-09,-5e-05,-5e-05,-2.9664504800211526
54.28,0.5745115486379458,-0.04307774670441865,8.615549644186927,-3.691763569383362e-09,-5e-05,-5e-05,-2.917087018479218
54.300000000000004,0.5736489936771516,-0.0431277480397117,8.625549644186927,-1.3352930528239355e-09,-5e-05,-5e-05,-2.8676662596276365
54.32,0.5727854386974344,-0.0431777489858604,8.635549644186927,-9.461486997497637e-10,-5e-05,-5e-05,-2.818188203912333
54.34,0.5719208836833577,-0.04322775070383279,8.645549644186927,-1.7179723921593555e-09,-5e-05,-5e-05,-2.7686528504488663
54.36,0.5710553286146927,-0.043277753433254344,8.655549644186927,-2.729421549467827e-09,-5e-05,-5e-05,-2.7190601980782034
54.38,0.5701887734706095,-0.04332775720416125,8.665549644186926,-3.770906905470325e-09,-5e-05,-5e-05,-2.6694102456068864
54.4,0.5693212182720689,-0.0433777599270272,8.675549644186926,-2.7228659458920723e-09,-5e-05,-5e-05,-2.619702994235879
54.42,0.5684526630719778,-0.043427760004556365,8.685549644186926,-7.752916310427859e-11,-5e-05,-5e-05,-2.5699384469965185
54.44,0.5675831078960284,-0.04347775879747388,8.695549644186926,1.2070824869923387e-09,-5e-05,-5e-05,-2.5201166053608595
54.46,0.5667125527205673,-0.04352775877305369,8.705549644186926,2.442018972817524e-11,-5e-05,-5e-05,-2.4702374679736683
